ItemCode,ItemCatX
EZX,Other
EZZ,Other
EZC,Other
XYT6,Other
XYT8,Soups & Light Chicken
XYT7,Other
XC69,Other
XC7Z,Other
XC7X,Other
XXYT,Pork
EYX,Other
