U_Date,U_FWeekNum,U_FWeek,U_Fperiod,U_FPname,U_FPStart,U_FPEnd,U_Fyear,U_FYStart,U_FYEnd
18/01/2015,4,18/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
19/01/2015,4,18/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
20/01/2015,4,18/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
21/01/2015,4,18/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
22/01/2015,4,18/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
23/01/2015,4,18/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
22/04/2017,16,16/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
24/01/2015,4,18/01/2015,1,January,01/01/2015,24/01/2015,2015,01/01/2015,31/12/2015
25/01/2015,5,25/01/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
26/01/2015,5,25/01/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
27/01/2015,5,25/01/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
28/01/2015,5,25/01/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
29/01/2015,5,25/01/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
30/01/2015,5,25/01/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
31/01/2015,5,25/01/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
01/02/2015,6,01/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
02/02/2015,6,01/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
23/04/2017,17,23/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
03/02/2015,6,01/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
04/02/2015,6,01/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
05/02/2015,6,01/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
06/02/2015,6,01/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
07/02/2015,6,01/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
08/02/2015,7,08/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
09/02/2015,7,08/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
10/02/2015,7,08/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
11/02/2015,7,08/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
12/02/2015,7,08/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
24/04/2017,17,23/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
13/02/2015,7,08/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
14/02/2015,7,08/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
15/02/2015,8,15/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
16/02/2015,8,15/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
17/02/2015,8,15/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
18/02/2015,8,15/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
19/02/2015,8,15/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
20/02/2015,8,15/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
21/02/2015,8,15/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
22/02/2015,9,22/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
25/04/2017,17,23/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
23/02/2015,9,22/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
24/02/2015,9,22/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
25/02/2015,9,22/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
26/02/2015,9,22/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
27/02/2015,9,22/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
28/02/2015,9,22/02/2015,2,February,25/01/2015,28/02/2015,2015,01/01/2015,31/12/2015
01/03/2015,10,01/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
02/03/2015,10,01/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
03/03/2015,10,01/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
04/03/2015,10,01/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
26/04/2017,17,23/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
05/03/2015,10,01/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
06/03/2015,10,01/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
07/03/2015,10,01/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
08/03/2015,11,08/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
09/03/2015,11,08/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
10/03/2015,11,08/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
11/03/2015,11,08/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
12/03/2015,11,08/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
13/03/2015,11,08/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
14/03/2015,11,08/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
27/04/2017,17,23/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
15/03/2015,12,15/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
16/03/2015,12,15/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
17/03/2015,12,15/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
18/03/2015,12,15/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
19/03/2015,12,15/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
20/03/2015,12,15/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
21/03/2015,12,15/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
22/03/2015,13,22/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
23/03/2015,13,22/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
24/03/2015,13,22/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
28/04/2017,17,23/04/2017,4,April,02/04/2017,29/04/2017,2017,01/01/2017,31/12/2017
25/03/2015,13,22/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
26/03/2015,13,22/03/2015,3,March,01/03/2015,28/03/2015,2015,01/01/2015,31/12/2015
